Entry Name,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Ordered,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Barcode/QR1-Data,Barcode/QR1-Type,Barcode/QR2-Data,Barcode/QR2-Type,Fournisseur,Unite par boite,Numero de produit,Section,Date du dernier inventaire ,Prix en attente d'inventaire
Petit meuble bleu,S00D0T4261,,,,,,,,1.0,units,,,0.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Autre,,https://lnk.sortly.co/v2/downloads/photo/v2_yaFov6ldTbNy9eoey0YJFFYNoM5DCX93GxBx94O0pChd5l4liXbpBw==,,,,,,,,"","","","",,,,,,
TAPIS NOIR ERGO,S00D0T4442,,,,,,,,1.0,units,,,0.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Autre,,,,,,,,,,"","","","",,,,,,
Bracelets - Bleu Pâle 100/sac,S00D0T4697,,,,,,,,4.0,units,,60.0,240.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_6Xmp4O2J3PnlteqHY9_RCo_3h4oPvz4_k18hTRqZCw3tvSd5FW9PyA==,,,,,,,,"","","","",,100,,,,
Bracelets - Bleus 100/sac,S00D0T4697,,,,,,,,11.0,units,5.0,60.0,660.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_rANLi3GJJyyRP-yKsSR0ww2eHSnSY9q1Bx1TkqaeR679f30njv945A==,,,,,,,,"","","","",,100,,,,
Bracelets - Jaunes 100/sac,S00D0T4698,,,,,,,,6.0,units,5.0,60.0,360.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_fsEN42uiVh7bUarQzIGg6lxChD07y7zcvsFZGFWFt2nLLvo7V07gnw==,,,,,,,,"","","","",,100,,,,
Bracelets - Noirs 100/sac,S00D0T4696,,,,,,,,0.0,units,5.0,60.0,0.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_gACxOMJzg7Tqj5mxt723YKXjmpFlTOkiCsCJNm1D8lJYrSXFH2xKKA==,,,,,,,,"","","","",,100,,,,
Bracelets - Oranges 100/sac,S00D0T4701,,,,,,,,8.0,units,5.0,60.0,480.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_kXjiglObeLRJOIvt2d0MQfvM4-7XU0O5Vb8tDNyj2gNtZ49rcx4RZg==,https://lnk.sortly.co/v2/downloads/photo/v2_998tjigcQ4qa6gU9jlaH9zB4DBsZhvEi7YtUDar5jEj3oB1DIL5arw==,,,,,,,"","","","",,100,,,,
Bracelets - Rouges 100/sac,S00D0T4699,,,,,,,,11.0,units,5.0,60.0,660.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_olWJq7YUsEhobUmEObV26z4FddDaGKEG7hProcLoE1_w7tATr_dirQ==,,,,,,,,"","","","",,100,,,,
Bracelets - Turquoise 100/sac,S00D0T5250,,,,,,,,1.0,units,,60.0,60.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_i-qV0W1kyKglSbCOumK2WVZ0WrNDZNQ8X26tJoeyKgteBPQVnLreTQ==,,,,,,,,"","","","",,100,,,,
Bracelets - Verts 100/sac,S00D0T4700,,,,,,,,7.0,units,5.0,60.0,420.0,false,,,ENTREPÔT AUBERGINE,SPA,RÉCEPTION,Bracelets Casiers,,https://lnk.sortly.co/v2/downloads/photo/v2_vuj3CrTZNCsZmrV76dIPYILA-BLh_t3gd6ESmwsIwQIOryKLmQY-tw==,,,,,,,,"","","","",,100,,,,
