"Center Name","Product Code","Product Name","UOM","Product Type","Brand","Vendor","On-Hand Quantity","Stock Cost (Perpetual Average)","Business Unit","Configured Purchase Price","Avg Price (Perpetual)"
"Spa le Finlandais","5152","Bain moussant","1 Units","Retail","Soja & Co.","Soja & Co","32","533.86","BOUTIQUE","17.50","16.68"
"Spa le Finlandais","5157","Bruine ambiance","1 Units","Retail","Soja & Co.","Soja & Co","50","352.39","BOUTIQUE","7.25","7.05"
"Spa le Finlandais","111100000008","Bruine de douche","1 Units","Retail","Soja & Co.","Soja & Co","74","784.48","BOUTIQUE","11.00","10.6"
"Spa le Finlandais","5150","Chandelle 8 oz","1 Units","Retail","Soja & Co.","Soja & Co","62","828.58","BOUTIQUE","14.50","13.36"
"Spa le Finlandais","5154","Diffuseur Roseau","1 Units","Retail","Soja & Co.","Soja & Co","61","716.36","BOUTIQUE","11.75","11.74"
"Spa le Finlandais","111100000006","Ensemble Bain","1 Units","Retail","Soja & Co.","Soja & Co","12","468","BOUTIQUE","39.00","39"
"Spa le Finlandais","111100000007","Ensemble Détente","1 Units","Retail","Soja & Co.","Soja & Co","23","570.08","BOUTIQUE","29.00","24.79"
"Spa le Finlandais","841453001301","Filtres en papier | Boîte de 50","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","3","7.2","BOUTIQUE","6.00","2.4"
"Spa le Finlandais","5153","Gel douche","1 Units","Retail","Soja & Co.","Soja & Co","3","31.95","BOUTIQUE","15.50","10.65"
"Spa le Finlandais","5155","Huile à massage","1 Units","Retail","Soja & Co.","Soja & Co","63","466.65","BOUTIQUE","7.50","7.41"
"Spa le Finlandais","5156","Huile Essentielle","1 Units","Retail","Soja & Co.","Soja & Co","99","616.3","BOUTIQUE","7.00","6.23"
"Spa le Finlandais","111100000020","Kit Pédicure","1 Units","Retail","","Spa Le Finlandais","12","0","BOUTIQUE","6.69","0"
"Spa le Finlandais","111100000029","Maillot Bain Femmes - Finlandais - Large","1 Units","Retail","Spa Finlandais","Spa Le Finlandais","20","500","BOUTIQUE","25.00","25"
"Spa le Finlandais","111100000028","Maillot Bain Femmes - Finlandais - Medium","1 Units","Retail","Spa Finlandais","Spa Le Finlandais","10","250","BOUTIQUE","25.00","25"
"Spa le Finlandais","111100000025","Maillot Bain Femmes - Finlandais - Small","1 Units","Retail","Spa Finlandais","Spa Le Finlandais","10","250","BOUTIQUE","25.00","25"
"Spa le Finlandais","111100000030","Maillot Bain Femmes - Finlandais - XLarge","1 Units","Retail","Spa Finlandais","Spa Le Finlandais","10","250","BOUTIQUE","25.00","25"
"Spa le Finlandais","5128","Maillot de Bain pour femme 28","1 Units","Retail","","Aquam","6","187.96","BOUTIQUE","44.99","31.33"
"Spa le Finlandais","5129","Maillot de Bain pour femme 30","1 Units","Retail","","Aquam","11","428.27","BOUTIQUE","44.99","38.93"
"Spa le Finlandais","5131","Maillot de Bain pour femme 32","1 Units","Retail","","Aquam","8","316.47","BOUTIQUE","44.99","39.56"
"Spa le Finlandais","5132","Maillot de Bain pour femme 34","1 Units","Retail","","Aquam","7","305.12","BOUTIQUE","44.99","43.59"
"Spa le Finlandais","5124","Maillot de Bain pour femme 36","1 Units","Retail","","Aquam","6","256.07","BOUTIQUE","44.99","42.68"
"Spa le Finlandais","5125","Maillot de Bain pour femme 38","1 Units","Retail","","Aquam","6","254.33","BOUTIQUE","44.99","42.39"
"Spa le Finlandais","5133","Maillot de Bain pour femme 40","1 Units","Retail","","Aquam","8","348.41","BOUTIQUE","44.99","43.55"
"Spa le Finlandais","5134","Maillot de Bain pour femme 42","1 Units","Retail","","Aquam","-2","0","BOUTIQUE","44.99","0"
